TAGNAME,GRAPHIC OBJECT,DESTINATION GRAPHIC DISPLAY,LAYER,PID NUMBER
@begin
FOD3757000A01,HAND VALVE,R7040_1_Overview_Display,FOD,7000A
FOD3757000A02,HAND VALVE,R7040_1_Overview_Display,FOD,7000A
FOD3757000B01,HAND VALVE,R7040_1_Overview_Display,FOD,7000B
FOD375701001,HAND VALVE,R7040_1_Overview_Display,FOD,7010
FOD375701002,HAND VALVE,R7040_1_Overview_Display,FOD,7010
FOD375720001,HAND VALVE,R7040_2B_Overview_Display,FOD,7200
FOD375720002,HAND VALVE,R7040_2B_Overview_Display,FOD,7200
FOD375721001,HAND VALVE,R7040_2B_Overview_Display,FOD,7210
FOD375722001,HAND VALVE,R7040_2B_Overview_Display,FOD,7220A
FOD375722002,HAND VALVE,PU7700_Overview__Display,FOD,7720
FOD375722201,HAND VALVE,R7040_2B_Overview_Display,FOD,7222
FOD375730001,HAND VALVE,T7300_Overview_Display,FOD,7300B
FOD3757300B01,HAND VALVE,T7300_Overview_Display,FOD,7300B
FOD375730201,HAND VALVE,T7300_Overview_Display,FOD,7302
FOD375730401,HAND VALVE,V7304_Overview__Display,FOD,7304
FOD3757400B01,HAND VALVE,T7400_Overview__Display,FOD,7400B
FOD3757400B02,HAND VALVE,T7400_Overview__Display,FOD,7400C
FOD375740201,HAND VALVE,T7400_Overview__Display,FOD,7402
FOD375741001,HAND VALVE,V7410_Overview__Display,FOD,7410
FOD375741002,HAND VALVE,V7410_Overview__Display,FOD,7410
FOD375742001,HAND VALVE,V7410_Overview__Display,FOD,7420
FOD3757500B01,HAND VALVE,T7500_Overview__Display,FOD,7500B
FOD3757500B02,HAND VALVE,T7500_Overview__Display,FOD,7500C
FOD375750201,HAND VALVE,T7500_Overview__Display,FOD,7502
FOD375751002,HAND VALVE,V7510_Overview__Display,FOD,7510
FOD375752001,HAND VALVE,V7510_Overview__Display,FOD,7520
FOD3757600B01,HAND VALVE,T7600_Overview__Display,FOD,7600B
FOD3757600B02,HAND VALVE,T7600_Overview__Display,FOD,7600C
FOD3757600C01,HAND VALVE,T7600_Overview__Display,FOD,7600C
FOD375760201,HAND VALVE,T7600_Overview__Display,FOD,7602
FOD375761001,HAND VALVE,V7610_Overview__Display,FOD,7610
FOD375761002,HAND VALVE,V7610_Overview__Display,FOD,7610
FOD375762001,HAND VALVE,V7610_Overview__Display,FOD,7620
FOD375763001,HAND VALVE,V7630_Overview__Display,FOD,7630
FOD375764001,HAND VALVE,V7640_Overview_Display,FOD,7640
FOD375790001,HAND VALVE,D7900_Overview__Display,FOD,7900
FOD375790002,HAND VALVE,D7900_Overview__Display,FOD,7900
FOD375790003,HAND VALVE,D7900_Overview__Display,FOD,7900
FOD375790004,HAND VALVE,D7900_Overview__Display,FOD,7900
FOD3757930B01,HAND VALVE,T7400_Overview__Display,FOD,7930B
FOD3757930B02,HAND VALVE,T7500_Overview__Display,FOD,7930B
FOD3757930C01,HAND VALVE,T7600_Overview__Display,FOD,7930C
FOD3757990A01,HAND VALVE,D7900_Overview__Display,FOD,7990A
FOD3757991A01,HAND VALVE,EWSS375_Overview__Display,FOD,7991A
FOD3757991A02,HAND VALVE,EWSS375_Overview__Display,FOD,7991A
FOD3757991A03,HAND VALVE,EWSS375_Overview__Display,FOD,7991A
7200_To_Drain,OUTLETBL,R7040_2B_Overview_Display,BL,7200
7210_To_Drain,OUTLETBL,R7040_2B_Overview_Display,BL,7210
7220_To_Drain,OUTLETBL,R7040_2B_Overview_Display,BL,7220A
7300_To_Drain,OUTLETBL,T7300_Overview_Display,BL,7300B
7410_To_Drain,OUTLETBL,V7410_Overview__Display,BL,7410
7510_To_Drain,OUTLETBL,V7510_Overview__Display,BL,7510
7610_To_Drain,OUTLETBL,V7610_Overview__Display,BL,7610
7630_To_Drain,OUTLETBL,V7630_Overview__Display,BL,7630
ABV701103_To_Atm,OUTLETBL,PU7700_Overview__Display,BL,7011
CONDENSATE_To_From_D9810,OUTLETBL,R7040_2A_Overview_Display,BL,7050
CONDENSATE_To_From_D9811,OUTLETBL,R7040_2A_Overview_Display,BL,7050
Cooling_WATER_To_Header,OUTLETBL,UTIL375_Overview__Display,BL,7992C
D7000_To_Drain,OUTLETBL,R7040_1_Overview_Display,BL,7000A
D7010_To_Drain,OUTLETBL,R7040_1_Overview_Display,BL,7010
D7200_To_Drain,OUTLETBL,R7040_2A_Overview_Display,BL,7200
D7222_To_Drain,OUTLETBL,R7040_2A_Overview_Display,BL,7222
D7300_To_Drain,OUTLETBL,T7300_Overview_Display,BL,7300B
D7302_To_Drain,OUTLETBL,T7300_Overview_Display,BL,7302
D7400_To_Drain,OUTLETBL,T7400_Overview__Display,BL,7400B
D7402_To_Drain,OUTLETBL,T7400_Overview__Display,BL,7402
